date,key,value
1989-05-05,aaii_bears,30.0
1989-05-05,aaii_bulls,30.0
1989-05-05,aaii_neutral,40.0
1989-05-05,aaii_spread,0.0
1989-05-12,aaii_bears,19.0
1989-05-12,aaii_bulls,38.0
1989-05-12,aaii_neutral,43.0
1989-05-12,aaii_spread,19.0
1989-05-19,aaii_bears,19.0
1989-05-19,aaii_bulls,43.0
1989-05-19,aaii_neutral,38.0
1989-05-19,aaii_spread,24.0
1989-05-26,aaii_bears,21.0
1989-05-26,aaii_bulls,48.0
1989-05-26,aaii_neutral,31.0
1989-05-26,aaii_spread,27.0
1989-06-02,aaii_bears,31.0
1989-06-02,aaii_bulls,42.0
1989-06-02,aaii_neutral,27.0
1989-06-02,aaii_spread,11.0
1989-06-09,aaii_bears,23.0
1989-06-09,aaii_bulls,43.0
1989-06-09,aaii_neutral,34.0
1989-06-09,aaii_spread,20.0
1989-06-16,aaii_bears,31.0
1989-06-16,aaii_bulls,32.0
1989-06-16,aaii_neutral,37.0
1989-06-16,aaii_spread,1.0
1989-06-23,aaii_bears,45.0
1989-06-23,aaii_bulls,33.0
1989-06-23,aaii_neutral,22.0
1989-06-23,aaii_spread,-12.0
1989-06-30,aaii_bears,26.0
1989-06-30,aaii_bulls,40.0
1989-06-30,aaii_neutral,34.0
1989-06-30,aaii_spread,14.0
1989-07-07,aaii_bears,31.0
1989-07-07,aaii_bulls,37.0
1989-07-07,aaii_neutral,32.0
1989-07-07,aaii_spread,6.0
1989-07-14,aaii_bears,48.0
1989-07-14,aaii_bulls,22.0
1989-07-14,aaii_neutral,30.0
1989-07-14,aaii_spread,-26.0
1989-07-21,aaii_bears,29.0
1989-07-21,aaii_bulls,32.0
1989-07-21,aaii_neutral,39.0
1989-07-21,aaii_spread,3.0
1989-07-28,aaii_bears,34.0
1989-07-28,aaii_bulls,41.0
1989-07-28,aaii_neutral,25.0
1989-07-28,aaii_spread,7.0
1989-08-04,aaii_bears,35.0
1989-08-04,aaii_bulls,35.0
1989-08-04,aaii_neutral,30.0
1989-08-04,aaii_spread,0.0
1989-08-11,aaii_bears,26.0
1989-08-11,aaii_bulls,53.0
1989-08-11,aaii_neutral,21.0
1989-08-11,aaii_spread,27.0
1989-08-18,aaii_bears,37.0
1989-08-18,aaii_bulls,35.0
1989-08-18,aaii_neutral,28.0
1989-08-18,aaii_spread,-2.0
1989-08-25,aaii_bears,31.0
1989-08-25,aaii_bulls,45.0
1989-08-25,aaii_neutral,24.0
1989-08-25,aaii_spread,14.0
1989-09-01,aaii_bears,36.0
1989-09-01,aaii_bulls,34.0
1989-09-01,aaii_neutral,30.0
1989-09-01,aaii_spread,-2.0
1989-09-08,aaii_bears,40.0
1989-09-08,aaii_bulls,30.0
1989-09-08,aaii_neutral,30.0
1989-09-08,aaii_spread,-10.0
1989-09-15,aaii_bears,25.0
1989-09-15,aaii_bulls,31.0
1989-09-15,aaii_neutral,44.0
1989-09-15,aaii_spread,6.0
1989-09-22,aaii_bears,39.0
1989-09-22,aaii_bulls,24.0
1989-09-22,aaii_neutral,37.0
1989-09-22,aaii_spread,-15.0
1989-09-29,aaii_bears,29.0
1989-09-29,aaii_bulls,33.0
1989-09-29,aaii_neutral,38.0
1989-09-29,aaii_spread,4.0
1989-10-06,aaii_bears,33.0
1989-10-06,aaii_bulls,24.0
1989-10-06,aaii_neutral,43.0
1989-10-06,aaii_spread,-9.0
1989-10-13,aaii_bears,20.0
1989-10-13,aaii_bulls,28.0
1989-10-13,aaii_neutral,52.0
1989-10-13,aaii_spread,8.0
1989-10-20,aaii_bears,33.0
1989-10-20,aaii_bulls,39.0
1989-10-20,aaii_neutral,28.0
1989-10-20,aaii_spread,6.0
1989-10-27,aaii_bears,31.0
1989-10-27,aaii_bulls,36.0
1989-10-27,aaii_neutral,33.0
1989-10-27,aaii_spread,5.0
1989-11-03,aaii_bears,32.0
1989-11-03,aaii_bulls,37.0
1989-11-03,aaii_neutral,31.0
1989-11-03,aaii_spread,5.0
1989-11-10,aaii_bears,36.0
1989-11-10,aaii_bulls,27.0
1989-11-10,aaii_neutral,37.0
1989-11-10,aaii_spread,-9.0
1989-11-17,aaii_bears,48.0
1989-11-17,aaii_bulls,24.0
1989-11-17,aaii_neutral,28.0
1989-11-17,aaii_spread,-24.0
1989-11-22,aaii_bears,33.0
1989-11-22,aaii_bulls,27.0
1989-11-22,aaii_neutral,40.0
1989-11-22,aaii_spread,-6.0
1989-12-01,aaii_bears,32.0
1989-12-01,aaii_bulls,28.0
1989-12-01,aaii_neutral,40.0
1989-12-01,aaii_spread,-4.0
1989-12-08,aaii_bears,28.0
1989-12-08,aaii_bulls,31.0
1989-12-08,aaii_neutral,41.0
1989-12-08,aaii_spread,3.0
1989-12-15,aaii_bears,28.0
1989-12-15,aaii_bulls,42.0
1989-12-15,aaii_neutral,30.0
1989-12-15,aaii_spread,14.0
1989-12-22,aaii_bears,32.0
1989-12-22,aaii_bulls,36.0
1989-12-22,aaii_neutral,32.0
1989-12-22,aaii_spread,4.0
1989-12-29,aaii_bears,34.0
1989-12-29,aaii_bulls,35.0
1989-12-29,aaii_neutral,31.0
1989-12-29,aaii_spread,1.0
1990-01-05,aaii_bears,30.0
1990-01-05,aaii_bulls,40.0
1990-01-05,aaii_neutral,30.0
1990-01-05,aaii_spread,10.0
1990-01-12,aaii_bears,17.0
1990-01-12,aaii_bulls,45.0
1990-01-12,aaii_neutral,38.0
1990-01-12,aaii_spread,28.0
1990-01-19,aaii_bears,20.0
1990-01-19,aaii_bulls,31.0
1990-01-19,aaii_neutral,49.0
1990-01-19,aaii_spread,11.0
1990-01-26,aaii_bears,38.0
1990-01-26,aaii_bulls,24.0
1990-01-26,aaii_neutral,38.0
